bioproject_id	phs_accession	organism	name	protocols_inferred	disease_categories	sra_run_count	description
545332		Homo sapiens	single cell RNA-seq analysis of adult and paediatric IDH-wildtype Glioblastomas	10x_chromium|smart-seq|scRNA	cancer	0	To understand the diversity of expression states in IDH-wildtype Glioblastomas, we profiled 24,131 single cells from 28 patients with GBM by single-cell RNA sequencing (7,930 cells by Smartseq2 and 16
1113649		Homo sapiens	Single cell RNA-sequencing reveals molecular signatures that distinguish allergic from irritant contact dermatitis	scRNA	neurological	0	Allergic and irritant contact dermatitis can be challenging to distinguish. We used single cell RNA sequencing (scRNA-seq) and insterstitial fluid proteomic analysis to compare suction blister biopsy 
374527	phs001294	Homo sapiens	Homo sapiens	smart-seq|scRNA	neurological	0	Peripheral blood mononuclear cells (PBMCs) were isolated from fresh blood using Ficoll-Paque density gradient centrifugation. Single-cell suspensions were stained with different antibody cocktails des
846154		Homo sapiens	Clonally expanded CD38hi cytotoxic CD8 T cells define the T cell infiltrate in checkpoint inhibitor-associated arthritis		neurological|autoimmune	0	Immune checkpoint inhibitor (ICI) therapies have improved outcomes for advanced malignancies by activating T cell responses, yet often also elicit harmful autoimmune reactions. The T cell mechanisms m
374387		Homo sapiens	Homo sapiens	smart-seq|scRNA	developmental|normal	0	Dendritic cells (DC) and monocytes play a central role in pathogen sensing, phagocytosis and antigen presentation, and consist of multiple specialized subtypes. However, their identities and inter-rel
1276165		Homo sapiens	INCLUDE: Down syndrome early post-natal basal forebrain multiome	multiome	neurological|developmental|normal	0	Neurodevelopmental deficiencies and neuronal dysfunction contribute to cognitive impairment in individuals with Down syndrome, but what molecular pathways underlie the defects that lead to intellectua
1140521	phs002922	Homo sapiens	Baseline Immune State and T cell Clonal Kinetics are Associated with Response to CAR-T Therapy in Large B-cell Lymphoma	cite-seq|scRNA	cancer	0	Engineered cellular therapy with CD19-targeting chimeric antigen receptor T-cells (CAR-T) has revolutionized outcomes for patients with relapsed/refractory Large B-Cell Lymphoma (LBCL), but the cellul
1308196		Homo sapiens	Sequencing of rare pancreatic tumors that respond to PD-1 blockade	10x_chromium|scRNA	cancer	0	Pancreatic cancer is nearly always refractory to immunotherapy, except in a rare subset of patients whose tumors have a high mutational burden (TMB), usually due to mismatch-repair deficiency. We coll
1091798		Homo sapiens	A single cell framework identifies functionally and molecularly distinct multipotent progenitors in adult human hematopoiesis	scRNA	neurological|normal	0	Hematopoietic multipotent progenitors (MPPs) regulate blood cell production to appropriately meet the biological demands of the human body. Human MPPs remain ill-defined whereas mouse MPPs have been w
1368931		Homo sapiens	Single cell and spatial transcriptomic profiling of pustule formers and resolvers of Haemophilus ducreyi infection following a second challenge	spatial|scRNA	neurological|infectious	0	In this study, the cutaneous immune response of individuals who previously formed pustules (N=4) or who previously spontaneously resolved disease following Haemophilus ducreyi inoculation (N=4) were c
998545		Homo sapiens	Spatial transcriptomics analysis of neoadjuvant cabozantinib and nivolumab in advanced hepatocellular carcinoma identifies independent mechanisms of resistance and recurrence	10x_chromium|spatial	cancer|neurological|autoimmune|pulmonary|liver	0	Novel immunotherapy combination therapies have improved outcomes for patients with hepatocellular carcinoma (HCC), but responses are limited to a subset of patients. Little is known about the inter- a
524362		Homo sapiens	Expression profiling of PBMCs from VA-ECLS patients	scRNA	cardiovascular	0	We profiled RNA expression by means of single cell RNA-Seq from a total of ~60,000 cells from 38 patients undergoing VA-ECMO due to acute heart failure (including acute exacerbation of chronic failure
1087436		Homo sapiens	Single cell resolution analysis of multi-tissue derived human iNKT cells reveals novel transcriptional paradigms	scRNA	cancer|neurological|developmental	0	Invariant natural killer T (iNKT) cells are evolutionarily conserved innate lymphocytes important for host defense against pathogens. Further, they are increasingly recognized to play a role in tumor 
1020568	phs003417	Homo sapiens	Multimodal gene expression and chromatin accessibility profiles at the single-cell level of synovial tissue from individuals with arthritis	atac|snRNA	neurological|autoimmune	0	In this study, we sought to understand the cell states in which autoimmune disease heritability is enriched. To do so, we performed single-nucleus multimodal sequencing of cells in the inflamed synovi
753520		Homo sapiens	Atlas of Clinically Distinct Cell States and Cellular Ecosystems Across Human Solid Tumors	spatial	cancer|developmental|normal	0	Determining how cells vary with their local signaling environment and organize into distinct cellular communities is critical for understanding processes as diverse as development, aging, and cancer. 
1141508		Homo sapiens	Vascular invasion-associated gene expression is detectable in pre-surgical biopsies of stage I lung adenocarcinoma [bulkRNA-seq]	spatial	cancer|neurological|pulmonary	0	Microscopic vascular invasion (VI) predicts recurrence and benefit from lobectomy in stage I lung adenocarcinoma (LUAD) but cannot be accurately predicted before surgery. Thus, biomarkers that identif
1419881		Homo sapiens	Spatial analysis of IPMNs defines a paradoxical KRT17-positive, low-grade epithelial population harboring malignant features	spatial|scRNA	cancer	0	Intraductal papillary mucinous neoplasms (IPMNs) represent one of the few radiologically identifiable precursors to pancreatic ductal adenocarcinoma (PDAC); however, identifying lesions at greater ris
926596		Homo sapiens	Non-small Cell Lung Cancer Brain Metastasis Atlas [slide-seq]	spatial|snRNA	cancer|neurological|pulmonary|normal	0	We performed single nuclei RNA-sequencing (snRNA-seq) with matched T cell receptor sequencing (TCR-seq), pool matched low pass whole genome sequencing (WGS) and single-cell spatial transcriptomics  of
1043165	phs004269	Homo sapiens	Remodeling of the immune microenvironment is linked to adverse outcome in pediatric T cell acute lymphoblastic leukemia	10x_chromium|smart-seq|cite-seq	cancer|developmental|normal	0	Changes in the immune microenvironment are frequent in cancers occurring in adult patients, yet our understanding of the pediatric cancer immune microenvironment and its clinical relevance is limited.
849980		Homo sapiens	Colitis associated with immune checkpoint inhibitors [tissue_nuclei]	snRNA|scRNA	autoimmune	0	In this study we set investigate four aspects of irColitis that are vital  to the pathogenesis of most immunotherapy related adverse events: (1) the  interactions between CD8 T cells and other immune,
753770		Homo sapiens	Progressively overloaded single-cell RNA-seq with cell hashing	10x_chromium|scRNA	neurological	0	Barcode-based multiplexing methods can be used to increase throughput and reduce batch effects in large single-cell genomics studies. To evaluate methods for demultiplexing barcode-multiplexed data, w
